Nr,GO_type,GO_name,RE_key,RE_true,RE_time,ST_type,ST_name,ST_wait_time
1,image,1_L,,rctrl,,image,47MN,1
2,image,1_L,,rctrl,,,,
3,image,1_L,,rctrl,,image,47MN,1.1
4,image,2_R,,lctrl,,,,
5,image,2_R,,lctrl,,text,run,1
6,image,2_R,,lctrl,,,,
7,image,1_L,,rctrl,,sound,2,1
8,image,2_R,,lctrl,,,,
9,image,1_L,,rctrl,,sound,1,1
10,image,2_R,,lctrl,,,,
11,image,2_R,,lctrl,,sound,1,1.1
12,image,2_R,,lctrl,,,,
13,image,1_L,,rctrl,,text,run,1.1
14,image,1_L,,rctrl,,,,
15,image,1_L,,rctrl,,image,48MN,1
16,image,1_L,,rctrl,,,,
17,image,2_R,,lctrl,,sound,2,1.1
18,image,2_R,,lctrl,,,,
19,image,1_L,,rctrl,,image,48MN,1.1
20,image,2_R,,lctrl,,,,
